INFO  - 2014-09-29 16:47:12.591; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-29 16:47:12.606; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor E:\Code\github\LANSearch_Servers\Solr\contexts at interval 0
INFO  - 2014-09-29 16:47:12.610; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: E:\Code\github\LANSearch_Servers\Solr\contexts\solr-jetty-context.xml
INFO  - 2014-09-29 16:47:12.645; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/E:/Code/github/LANSearch_Servers/Solr/webapps/solr.war!/ to E:\Code\github\LANSearch_Servers\Solr\solr-webapp\webapp
INFO  - 2014-09-29 16:47:13.919; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-29 16:47:13.961; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-29 16:47:13.970; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-29 16:47:13.970; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-29 16:47:13.971; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-29 16:47:14.056; org.apache.solr.core.ConfigSolr; Loading container configuration from E:\Code\github\LANSearch_Servers\Solr\solr\solr.xml
INFO  - 2014-09-29 16:47:14.091; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: E:\Code\github\LANSearch_Servers\Solr\solr
INFO  - 2014-09-29 16:47:14.095; org.apache.solr.core.CoreContainer; New CoreContainer 1606286799
INFO  - 2014-09-29 16:47:14.096; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-29 16:47:14.102; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-29 16:47:14.102; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-09-29 16:47:14.105; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-29 16:47:14.106; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-29 16:47:14.106; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-29 16:47:14.107; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-29 16:47:14.107; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-29 16:47:14.107; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-29 16:47:14.107; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-29 16:47:14.238; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-29 16:47:14.239; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-29 16:47:14.240; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-29 16:47:14.241; org.apache.solr.core.CoreContainer; Host Name: null
INFO  - 2014-09-29 16:47:23.330; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath E:\Code\github\LANSearch_Servers\Solr\solr
INFO  - 2014-09-29 16:47:23.337; org.apache.solr.core.CorePropertiesLocator; Found core lansearch in E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\
INFO  - 2014-09-29 16:47:23.337; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-29 16:47:23.338; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\'
INFO  - 2014-09-29 16:47:23.373; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-29 16:47:23.377; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
